url,Title,Address,logo_url,title,street,zipcode,city,kanton,phone_numbers,email,website,description,languages,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
https://www.local.ch/fr/d/horgen/8810/veterinaire/katzen-praxis-ch-ZK3bBGLNvPg9sRdtdRPIPQ,,,,,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/huttwil/4950/veterinaire/tierarztpraxis-dr-marti-ug-rkj9D_7a7_9AtwUu_vQ,Tierarztpraxis Dr. Marti,,,Tierarztpraxis Dr. Marti,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/lumino/6533/veterinaire/studio-veterinario-can-e-gat-EV0om6HsNVOxeRaGmp9oPQ,Studio veterinario Can e Gat,,,Studio veterinario Can e Gat,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/klosters/7250/veterinaire/silvretta-tieraerzte-ag-tJ1tDJEfybLLENv_sqok_g,Silvretta Tierärzte AG,,,Silvretta Tierärzte AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/gelterkinden/4460/veterinaire/tierarztpraxis-ergolz-2IhhT8cXrgkBjpjYcGVCAw,Tierarztpraxis Ergolz,,,Tierarztpraxis Ergolz,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/staffelbach/5053/clinique-pour-animaux/tierklinik24-iveowXePN-7v2Fhm-_V4qw,Tierklinik24,,,Tierklinik24,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/carouge-ge/1227/service-veterinaire-durgence/vetoadom-sarl-1kUDrbKTr9ZXABUtjQP-Wg,VetoAdom Sarl,,,VetoAdom Sarl,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/flurlingen/8247/veterinaire/tierklinik-rhenus-ag-aoqwfoQ8ahgoToauWoLK3g,Tierklinik Rhenus AG,,,Tierklinik Rhenus AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/kilchberg-zh/8802/veterinaire/tierarzt-kilchberg-LrOnhcVFn3hIrp1zj8WMpA,TIERARZT KILCHBERG,,,TIERARZT KILCHBERG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/anet/3232/veterinaire/kleintierpraxis-im-moos-ag-NRtxWqsElcqWnP_jNW_HHQ,Kleintierpraxis im Moos AG,,,Kleintierpraxis im Moos AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/lausanne/1018/veterinaire/veterinaire-des-plaines-du-loup-HSRdRPISKHffWjR1PGe_xA,Vétérinaire des Plaines-du-Loup,,,Vétérinaire des Plaines-du-Loup,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/zurich/8053/veterinaire/kleintierpraxis-witikon-ag-dr-med-vet-katja-rech-TqxGNV7M_RsCaGwADdOJVQ,"Kleintierpraxis Witikon AG, Dr. med. vet. Katja Rech",,,"Kleintierpraxis Witikon AG, Dr. med. vet. Katja Rech",,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/berne/3012/veterinaire/kleintierpraxis-54-E1Ns3YGZhPN5aQvr8VxyAg,Kleintierpraxis 54,,,Kleintierpraxis 54,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/aarberg/3270/veterinaire/tierarztpraxis-roesslimatte-gmbh-_2egzEhUx_br-AeA-3p9uw,Tierarztpraxis Rösslimatte GmbH,,,Tierarztpraxis Rösslimatte GmbH,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/altendorf/8852/veterinaire/kleintierpraxis-am-obersee-gmbh-tX9QFcOVEZcTOQo80GJWog,Kleintierpraxis am Obersee GmbH,,,Kleintierpraxis am Obersee GmbH,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/staefa/8712/veterinaire/kleintierpraxis-anima-ag-oFzFjX_fytfd-xRwkAeEmA,Kleintierpraxis Anima AG,,,Kleintierpraxis Anima AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/effretikon/8307/veterinaire/kleintierpraxis-maurer-yjXnVz1FUtgcIejkViVoVA,Kleintierpraxis Maurer,,,Kleintierpraxis Maurer,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/geneve/1205/veterinaire/cabinet-veterinaire-des-sources-sa-u8rjJjYWItiuM4ZszwVnqA,Cabinet Vétérinaire des Sources SA,,,Cabinet Vétérinaire des Sources SA,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/lucerne/6005/veterinaire/tierklinik-obergrund-ag-HtqdBpwqTHuUKzdlELPHgg,Tierklinik Obergrund AG,,,Tierklinik Obergrund AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/frick/5070/veterinaire/trivet-tieraerzte-NtoPa42W-D2Je5PbhkN6BA,TRIVET-Tierärzte,,,TRIVET-Tierärzte,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/collonge-bellerive/1245/veterinaire/cabinet-veterinaire-de-collonge-bellerive-sarl-ZCifBJEib97r4xpCzKYaRw,Cabinet Vétérinaire de Collonge-Bellerive Sàrl,,,Cabinet Vétérinaire de Collonge-Bellerive Sàrl,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/riddes/1908/veterinaire/pratique-veterinaire-valesia-sa-s0IPuMeX-EKWz-ssnipUbQ,Pratique Vétérinaire Valesia SA,,,Pratique Vétérinaire Valesia SA,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/lachen-sz/8853/veterinaire/kleintiermedizinisches-zentrum-vet4pet-z6NNjTN-WZHdiGL0hTYCRA,Kleintiermedizinisches Zentrum vet4pet,,,Kleintiermedizinisches Zentrum vet4pet,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/geneve/1205/veterinaire/vetcity-cabinet-veterinaire-geneve-jOR8fLETpxq-XeaWtHWSxQ,VETCITY Cabinet Vétérinaire Genève,,,VETCITY Cabinet Vétérinaire Genève,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/kriens/6010/veterinaire/kleintierpraxis-wydenhof-pilXx95F701mFakXGV59Ww,Kleintierpraxis Wydenhof,,,Kleintierpraxis Wydenhof,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/soleure/4500/veterinaire/neuhaus-tieraerzte-team-loMdWanA8KLpo9Q29CJy0g,neuhaus.tierärzte.team,,,neuhaus.tierärzte.team,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/bellevue/1293/veterinaire/cabinet-veterinaire-des-tuileries-2ecrXz64TSKG4bhrDZDE1A,Cabinet vétérinaire des Tuileries,,,Cabinet vétérinaire des Tuileries,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/lyss/3250/veterinaire/tiermedizentrum-lyssbach-gmbh-NjflotvMbxyvpWk-VUty0w,Tiermedizentrum Lyssbach GmbH,,,Tiermedizentrum Lyssbach GmbH,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/sursee/6210/veterinaire/anicura-kleintierpraxis-sursee-ag-fiF1jW91hPcI1aih2VF1wQ,Anicura Kleintierpraxis Sursee AG,,,Anicura Kleintierpraxis Sursee AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/altdorf-ur/6460/veterinaire/dr-med-vet-kleintierpraxis-stadler-thomas-Gkps_rPrLKLI9iuL2zf3Vw,Dr. med. vet. Kleintierpraxis Stadler Thomas,,,Dr. med. vet. Kleintierpraxis Stadler Thomas,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/alterswil-fr/1715/veterinaire/pyanavet-ag-ul8FpHqGMQ5ZauqXO5oRSw,PyanaVet AG,,,PyanaVet AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/herisau/9100/veterinaire/kleintier-spezialisten-klinik-arc--qjkCb3zBs9VTxq6YP6QuA,Kleintier-Spezialisten Klinik ARC,,,Kleintier-Spezialisten Klinik ARC,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/huenenberg/6331/veterinaire/ennetseeklinik-fuer-kleintiere-l2xP5NggR8hMHGbfYjC9aA,ENNETSeeKLINIK für Kleintiere,,,ENNETSeeKLINIK für Kleintiere,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/bueetigen/3263/veterinaire/tierarztpraxis-weber-WFiUfIsYKrk6OD4tRAkrpw,Tierarztpraxis Weber,,,Tierarztpraxis Weber,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/carouge-ge/1227/animaux/cabinet-veterinaire-de-la-fonderie-sa-aCgBwq7qM6KWCHqJZTAphA,Cabinet Vétérinaire de la Fonderie SA,,,Cabinet Vétérinaire de la Fonderie SA,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/dietikon/8953/veterinaire/kleintierpraxis-am-weg-s_8JiullqLCSXHZZrgNEuA,Kleintierpraxis 'Am Weg',,,Kleintierpraxis 'Am Weg',,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/prilly/1008/veterinaire/cabinet-veterinaire-de-la-charbonniere-dTjTZaigUuula2d-LWJ07A,Cabinet Vétérinaire de la Charbonnière,,,Cabinet Vétérinaire de la Charbonnière,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/oftringen/4665/veterinaire/tierklinik-mittelland-ag-Q0DW9Y8pi_wkZgT0HzFy9Q,TIERKLINIK MITTELLAND AG,,,TIERKLINIK MITTELLAND AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/berne/3008/veterinaire/anicura-bern-laupeneck-HN7AX9MDQ_cWvI6BUOkz1w,AniCura Bern Laupeneck,,,AniCura Bern Laupeneck,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/niederuzwil/9244/clinique-pour-animaux/pferdeklinik-thurland-MH_KsmoDxDZi_RkJqJlaBQ,Pferdeklinik Thurland,,,Pferdeklinik Thurland,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/zurich/8044/veterinaire/kleintierklinik-oberstrass-ag-VpCbRIe4bGHUOuWYzzCDwQ,Kleintierklinik Oberstrass AG,,,Kleintierklinik Oberstrass AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/interlaken/3800/veterinaire/tierklinik-interlaken-ag-24-7-notfalldienst-X9iqRW_39x9yZAnsZjK0cA,Tierklinik Interlaken AG - 24/7 Notfalldienst,,,Tierklinik Interlaken AG - 24/7 Notfalldienst,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/eich/6205/veterinaire/kleintierpraxis-von-werthern-gmbh-XseuRC06hdF3PwyLvRlqoA,Kleintierpraxis von Werthern GmbH,,,Kleintierpraxis von Werthern GmbH,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/ruemlang/8153/veterinaire/kleintierpraxis-burlet-tRf4SVuQxKYT2JqLcIny_w,Kleintierpraxis Burlet,,,Kleintierpraxis Burlet,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/schmerikon/8716/veterinaire/kleintierpraxis-seegarten-ag-pk4GTkSqzbGubo7581-xeA,Kleintierpraxis Seegarten AG,,,Kleintierpraxis Seegarten AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/buttikon-sz/8863/clinique-pour-animaux/kleintierpraxis-drei-hoefe-iLsXGaCxcG_LGjH0j6JVLA,Kleintierpraxis Drei Höfe,,,Kleintierpraxis Drei Höfe,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/thoune/3600/clinique-pour-animaux/anicura-tierklinik-thun-ag-L4lddZUcKWw8i1hxfdmLVg,AniCura Tierklinik Thun AG,,,AniCura Tierklinik Thun AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/ascona/6612/veterinaire/centro-veterinario-buonamano-wKy6_A5Bb33DDZBStyhksw,Centro Veterinario Buonamano,,,Centro Veterinario Buonamano,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/bachenbuelach/8184/veterinaire/kleintierpraxis-katzenpension-Sg3ZRgeD08BDPm5vRaW7uA,Kleintierpraxis Katzenpension,,,Kleintierpraxis Katzenpension,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/feusisberg/8835/veterinaire/marigin-tierklinik-zentrum-fuer-tiermedizin-SBdZXwUNIWHEjbMj8JJvaQ,Marigin Tierklinik - 24 Std. Notfalldienst - Zentrum für Tiermedizin,,,Marigin Tierklinik - 24 Std. Notfalldienst - Zentrum für Tiermedizin,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/clarens/1815/veterinaire/cabinet-veterinaire-gambetta-Lm3Td-JfFxrVkPuTFLufbA,Cabinet Vétérinaire Gambetta,,,Cabinet Vétérinaire Gambetta,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/st-imier/2610/veterinaire/cabinet-veterinaire-iszh7mo4o-DH7rVWr-zmGQ,Cabinet Vétérinaire,,,Cabinet Vétérinaire,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/netstal/8754/veterinaire/tierklinik-am-kreis-ag-x4-ptlFAwv1I6L8JZ_oLoA,Tierklinik am Kreis AG,,,Tierklinik am Kreis AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/biel-benken-bl/4105/veterinaire/tierklinik-leimental-ABlt3BClUpdUlLCShvJCfw,Tierklinik Leimental,,,Tierklinik Leimental,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/amriswil/8580/veterinaire/tierarztpraxis-im-hoelzli-uqw9ROjdw6ksZPEfc23LlA,Tierarztpraxis im Hölzli,,,Tierarztpraxis im Hölzli,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/hochdorf/6280/veterinaire/kleintierpraxis-eberli--S02zTXYYeuhaHzBx11-AA,Kleintierpraxis Eberli,,,Kleintierpraxis Eberli,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/geneve/1203/veterinaire/cabinet-veterinaire-de-st-jean-JBflpiF1_YG1GLoaPWAxEQ,Cabinet Vétérinaire de St-Jean,,,Cabinet Vétérinaire de St-Jean,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/luetzelflueh-goldbach/3432/veterinaire/tierarztpraxis-siegenthaler-ag-UxCYzXQWRXEHKELf6mGbJw,Tierarztpraxis Siegenthaler AG,,,Tierarztpraxis Siegenthaler AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/glaris/8750/veterinaire/kleintierpraxis-buchholz-gmbh-q7GbhGqI9FVLPdcQ_pgVIg,Kleintierpraxis Buchholz GmbH,,,Kleintierpraxis Buchholz GmbH,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/agno/6982/veterinaire/centro-veterinario-doc4pet-sagl-OFJ656UUec9FIWQ-mVIE0Q,Centro Veterinario Doc4Pet Sagl,,,Centro Veterinario Doc4Pet Sagl,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
https://www.local.ch/fr/d/oberbueren/9245/veterinaire/kleintierklinik-glattfeld-ag-wtwuC_BN23v60cGbuSZ2DQ,Kleintierklinik Glattfeld AG,,,Kleintierklinik Glattfeld AG,,,,,,,,,,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé,Fermé
